620|Ibicuí|25
621|Ibipeba|25
622|Ibipetum|25
623|Ibipitanga|25
624|Ibiquera|25
625|Ibiraba|25
626|Ibiraja|25
627|Ibiranhem|25
628|Ibirapitanga|25
629|Ibirapuã|25
630|Ibirataiá|25
631|Ibitiara|25
632|Ibitiguira|25
633|Ibitira|25
634|Ibititá|25
635|Ibitunane|25
636|Ibitupa|25
637|Ibo|25
638|Ibotirama|25
639|Ichu|25
640|Ico|25
641|Igaporã|25
642|Igara|25
643|Igarité|25
644|Igatu|25
645|Igrapiúna|25
646|Iguá|25
647|Iguai|25
648|Iguaibi|25
649|Iguatemi|25
650|Iguira|25
651|Iguitu|25
652|Ilha de Mare|25
653|Ilhéus|25
654|Indai|25
655|Inema|25
656|Inhambupe|25
657|Inhata|25
658|Inhaúmas|25
659|Inhobim|25
660|Inubia|25
661|Ipecaetá|25
662|Ipiaú|25
663|Ipirá|25
664|Ipiuna|25
665|Ipucaba|25
666|Ipupiara|25
667|Irajuba|25
668|Iramaiá|25
669|Iraporanga|25
670|Iraquara|25
671|Irara|25
672|Irecê|25
673|Irundiara|25
674|Ita-azul|25
675|Itabela|25
676|Itaberaba|25
677|Itabuna|25
678|Itacaré|25
679|Itacava|25
680|Itachama|25
681|Itacimirim|25
682|Itaeté|25
683|Itagi|25
684|Itagiba|25
685|Itagimirim|25
686|Itaguaçu da Bahia|25
687|Itaiá|25
688|Itaibo|25
689|Itaipu|25
690|Itaitu|25
691|Itajaí|25
692|Itaju do Colonia|25
693|Itajubaquara|25
694|Itajuípe|25
695|Itajuru|25
696|Itamaraju|25
697|Itamari|25
698|Itambé|25
699|Itamira|25
700|Itamotinga|25
701|Itanage|25
702|Itanagra|25
703|Itanhém|25
704|Itanhi|25
705|Itaparica|25
706|Itapé|25
707|Itapebi|25
708|Itapeipu|25
709|Itapetinga|25
710|Itapicuru|25
711|Itapirema|25
712|Itapitanga|25
713|Itaporã|25
714|Itapura|25
715|Itaquara|25
716|Itaquarai|25
717|Itarantim|25
718|Itati|25
719|Itatim|25
720|Itatingui|25
721|Itiruçu|25
722|Itiúba|25
723|Itororó|25
724|Ituaçu|25
725|Ituberá|25
726|Itupeva|25
727|Iuiú|25
728|Jaborandi|25
729|Jacaraci|25
730|Jacobina|25
731|Jacu|25
732|Jacuípe|25
733|Jacuruna|25
734|Jaguaquara|25
735|Jaguara|25
736|Jaguarari|25
737|Jaguaripe|25
738|Jaíba|25
739|Jandaira|25
740|Japomirim|25
741|Japu|25
742|Jaua|25
743|Jequié|25
744|Jequirica|25
745|Jeremoabo|25
746|Jiribatuba|25
747|Jitaúna|25
748|João Amaro|25
749|João Correia|25
750|João Dourado|25
751|José Gonçalves|25
752|Juacema|25
753|Juazeiro|25
754|Jucuruçu|25
755|Juerana|25
756|Junco|25
757|Jupagua|25
758|Juraci|25
759|Juremal|25
760|Jussara|25
761|Jussari|25
762|Jussiape|25
763|Km Sete|25
764|Lafaiete Coutinho|25
765|Lagoa Clara|25
766|Lagoa de Melquiades|25
767|Lagoa do Boi|25
768|Lagoa Grande|25
769|Lagoa José Luis|25
770|Lagoa Preta|25
771|Lagoa Real|25
772|Laje|25
773|Laje do Banco|25
774|Lajedão|25
775|Lajedinho|25
776|Lajedo Alto|25
777|Lajedo do Tabocal|25
778|Lamarão|25
779|Lamarão do Passe|25
780|Lapão|25
781|Largo|25
782|Lauro de Freitas|25
783|Lençóis|25
784|Licínio de Almeida|25
785|Limoeiro do Bom Viver|25
786|Livramento do Brumado|25
787|Lucaiá|25
788|Luis Viana|25
789|Lustosa|25
790|Macajuba|25
791|Macarani|25
792|Macaúbas|25
793|Macururé|25
794|Madre de Deus|25
795|Maetinga|25
796|Maiquinique|25
797|Mairi|25
798|Malhada|25
799|Malhada de Pedras|25
800|Mandiroba|25
801|Mangue Seco|25
802|Maniacu|25
803|Manoel Vitorino|25
804|Mansidão|25
805|Mantiba|25
806|Mar Grande|25
807|Maracas|25
808|Maragogipe|25
809|Maragogipinho|25
810|Marau|25
811|Marcionílio Souza|25
812|Marcolino Moura|25
813|Maria Quitéria|25
814|Maricoabo|25
815|Mariquita|25
816|Mascote|25
817|Massacara|25
818|Massaroca|25
819|Mata da Aliança|25
820|Mata de São João|25
821|Mataripe|25
822|Matina|25
823|Matinha|25
824|Medeiros Neto|25
825|Miguel Calmon|25
826|Milagres|25
827|Mimoso do Oeste|25
828|Minas do Espirito Santo|25
829|Minas do Mimoso|25
830|Mirandela|25
831|Miranga|25
832|Mirangaba|25
833|Mirante|25
834|Mocambo|25
835|Mogiquicaba|25
836|Monte Cruzeiro|25
837|Monte Gordo|25
838|Monte Recôncavo|25
839|Monte Santo|25
840|Morpará|25
841|Morrinhos|25
842|Morro das Flores|25
843|Morro de São Paulo|25
844|Morro do Chapéu|25
845|Mortugaba|25
846|Mucugê|25
847|Mucuri|25
848|Mulungu do Morro|25
849|Mundo Novo|25
850|Muniz Ferreira|25
851|Muquém do São Francisco|25
852|Muritiba|25
853|Mutas|25
854|Mutuípe|25
855|Nagé|25
856|Narandiba|25
857|Nazaré|25
858|Nilo Peçanha|25
859|Nordestina|25
860|Nova Alegria|25
861|Nova Brasilia|25
862|Nova Canaã|25
863|Nova Fatima|25
864|Nova Ibiá|25
865|Nova Itaipé|25
866|Nova Itarana|25
867|Nova Lídice|25
868|Nova Redenção|25
869|Nova Soure|25
870|Nova Viçosa|25
871|Novo Acre|25
872|Novo Horizonte|25
873|Novo Triunfo|25
874|Núcleo Residencial Pilar|25
875|Nuguacu|25
876|Olhos D'Água Do Seco|25
877|Olhos D'Água Do Serafim|25
878|Olindina|25
879|Oliveira dos Brejinhos|25
880|Olivença|25
881|Onhã|25
882|Oriente Novo|25
883|Ouricana|25
884|Ouriçangas|25
885|Ouricuri do Ouro|25
886|Ourolândia|25
887|Outeiro Redondo|25
888|Paiol|25
889|Pageu do Vento|25
890|Palame|25
891|Palmas de Monte Alto|25
892|Palmeiras|25
893|Parafuso|25
894|Paramirim|25
895|Parateca|25
896|Paratinga|25
897|Paripiranga|25
898|Pataiba|25
899|Patamute|25
900|Pau A Pique|25
901|Pau Brasil|25
902|Paulo Afonso|25
903|Pe de Serra|25
904|Pedrão|25
905|Pedras Altas do Mirim|25
906|Pedro Alexandre|25
907|Peixe|25
908|Petim|25
909|Piabanha|25
910|Piatã|25
911|Piçarrão|25
912|Pilão Arcado|25
913|Pimenteira|25
914|Pindaí|25
915|Pindobaçu|25
916|Pinhões|25
917|Pintadas|25
918|Piragi|25
919|Pirai do Norte|25
920|Pirajá|25
921|Pirajuia|25
922|Piri|25
923|Piripá|25
